artist,genres
Dasha,[]
Dat Boi Dee,"['canzone napoletana', 'neomelodico', 'italian trap']"
Dat Maniac,[]
Datmaniac,"['vietnamese hip hop', 'vietnam indie', 'v-pop']"
Datz,"['vietnamese bolero', 'bolero']"
Dauner,[]
Dave,"['grime', 'uk drill', 'drill']"
Daven Wu,"['mandopop', 'c-pop', 'chinese r&b']"
David Bisbal,['latin pop']
David Guetta,"['edm', 'dance']"
David Kushner,"['pop', 'singer-songwriter']"
David Mokel,"['russelåter', 'norwegian rap', 'norwegian pop']"
David Otero,[]
David Tao,"['mandopop', 'chinese r&b', 'taiwanese pop', 'c-pop']"
Davido,"['afrobeats', 'afrobeat', 'afropop', 'azonto', 'amapiano', 'hiplife', 'afroswing']"
Daviles de Novelda,"['flamenco', 'flamenco urbano', 'flamenco pop']"
Dawid Podsiadło,"['pop', 'indie pop', 'pop rock', 'blues', 'britpop', 'alternative rock']"
Day Nappers,"['big band', 'christmas music', 'film soundtrack', 'pop', 'show tunes', 'standards', 'traditional pop']"
Daya,"['electropop', 'pop', 'synthpop']"
Dayang Nurfaizah,"['malay', 'malay pop', 'malaysian pop', 'malay rap']"
De La Rose,[]
De Lacure,"['hip hop', 'q-pop']"
De Mthuda,"['amapiano', 'gqom']"
Dead Dawg,['german hip hop']
Dean Lewis,['pop']
Dear Jane,"['cantopop', 'v-pop', 'c-pop']"
Dear Sunday,['surf rock']
Dedublüman,"['arabesk', 'turkish pop']"
Deejay Telio,"['portuguese hip hop', 'kuduro', 'kizomba', 'afro house']"
Deejhay RB,"['funk consciente', 'funk', 'trap funk']"
Deemz,[]
Deep Syth,['deep house']
Deepthi Suresh,"['tamil pop', 'tamil dance', 'kollywood']"
Defkhan,['turkish hip hop']
Dei V,"['trap latino', 'urbano latino']"
Dejinha,['funk']
Delaossa,[]
Delarue,['drill']
Delilah Montagu,[]
Delle,['jazz']
Demi Portion,['hip hop']
Demon324,['arabic rap']
Denden,[]
Dendi Nata,"['indonesian pop', 'lagu jawa']"
Denise Julia,['pinoy r&b']
Dennis Kuo,[]
Denny Caknan,"['lagu jawa', 'dangdut']"
Dent May,[]
Depeche Mode,"['new wave', 'synthpop', 'darkwave']"
Der Zipfelbube,"['schlagerparty', 'schlager']"
Dere,"['indonesian indie', 'indonesian pop']"
Dermot Kennedy,"['pop', 'pop rock', 'singer-songwriter']"
Derya Uluğ,"['turkish pop', 't-pop']"
Desi Crew,"['bhangra', 'punjabi pop', 'punjabi hip hop']"
Dess Dior,['afrobeats']
Destroy Lonely,['rage rap']
Destya Eka,[]
Devi Sri Prasad,"['telugu pop', 'tollywood', 'tamil dance', 'tamil pop', 'kollywood']"
Devika Badyal,[]
Dexta Daps,"['dancehall', 'soca', 'riddim']"
Dhanda Nyoliwala,"['haryanvi pop', 'punjabi hip hop', 'desi hip hop']"
Dhanju,"['punjabi hip hop', 'punjabi pop']"
Dhanush,"['tamil dance', 'tamil pop', 'kollywood']"
Dhibu Ninan Thomas,"['tamil pop', 'kollywood']"
Dhruv,[]
Dhruv Vikram,"['tamil hip hop', 'tollywood', 'tamil pop', 'telugu pop', 'tamil indie']"
Di Di,"['v-pop', 'vietnamese hip hop']"
Di Propósito,"['pagode', 'samba']"
Diane Phuong Dai,"['vietnamese bolero', 'bolero']"
Dick,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
Didine Canon 16,"['raï', 'arabic rap', 'moroccan pop', 'khaleeji']"
Dido,"['alternative rock', 'dance-pop', 'downtempo', 'electropop', 'folktronica', 'pop', 'singer', 'singer-songwriter', 'soft rock', 'thank you', 'trip hop', 'uk']"
Die Heuwels Fantasties,[]
Die Piesangskille,[]
Die Zipfelbuben,"['schlagerparty', 'schlager']"
Diem Suong,"['vietnamese bolero', 'v-pop']"
Diiton,"['chinese r&b', 'chinese hip hop', 'chinese indie', 'taiwanese pop', 'mandopop']"
Dikshant,"['indian indie', 'hindi indie']"
Dilan Vũ,['v-pop']
Dilaw,"['opm', 'harana', 'p-pop', 'pinoy indie', 'kundiman']"
Diler Kharkiya,['haryanvi pop']
Diljit Dosanjh,"['bhangra', 'punjabi pop', 'punjabi hip hop', 'desi', 'bollywood', 'desi pop']"
Dillom,"['argentine trap', 'trap']"
Dilsinho,"['pagode', 'samba', 'sertanejo', 'piseiro']"
Dimitri Vegas,"['big room', 'electronica', 'edm', 'electro']"
Dimitri Vegas & Like Mike,"['big room', 'electronica', 'edm', 'electro']"
Dinos,['pop urbaine']
Dionela,"['opm', 'pinoy r&b', 'p-pop', 'harana', 'pinoy hip hop']"
Diplo,['moombahton']
Disclosure,['house']
Disiz,['hip hop']
Diskoria,"['indonesian indie', 'indonesian pop', 'city pop']"
Disturbed,"['metal', 'nu metal', 'alternative metal', 'rap metal', 'hard rock', 'rock', 'heavy metal']"
Divya Kumar,"['bollywood', 'gujarati garba', 'hindi pop', 'desi', 'gujarati pop']"
Diệp Lâm Anh,['v-pop']
Diệu Nhi,['v-pop']
Dj Binho Alvarenga,['hip hop']
Dj Glad,['dancehall']
Dj Kevin Oficial,"['piseiro', 'forró', 'arrocha']"
Dj Lc,"['funk de bh', 'funk', 'brazilian funk']"
Dj Lc da Roça,"['funk carioca', 'funk']"
Dj TiLo,['vinahouse']
Dj Vitin do Pc,"['funk de bh', 'funk', 'brazilian funk']"
Dj Yo!,[]
Djadja & Dinaz,['pop urbaine']
Djamel Milano,['raï']
Djo,['psychedelic pop']
Djy Biza,"['amapiano', 'gqom']"
Dlala Thukzin,"['gqom', 'amapiano', 'afro house']"
Dlow,"['vietnamese hip hop', 'v-pop']"
Do Thuy Khanh,['v-pop']
Doble ONE Flow Letal,['mexican hip hop']
Doda,['disco polo']
Dodo Nyoka,[]
Dody6,[]
Doechii,['hip hop']
Doja Cat,"['hip hop', 'nuno', 'pop', 'pop rap', 'rap', 'trap', 'west coast hip hop']"
Doli & Penn,['mizrahi']
Dolu Kadehi Ters Tut,['turkish pop']
Dom Dolla,"['house', 'tech house']"
Dominik Hartz,['german pop']
Domino,"['vinahouse', 'v-pop']"
Domiy,[]
Don Bigg,"['arabic rap', 'moroccan pop', 'egyptian hip hop', 'raï', 'gnawa']"
Don Hồ,"['vietnamese bolero', 'bolero', 'v-pop']"
Don Miguelo,['dembow']
Don Omar,"['reggaeton', 'urbano latino']"
Don Pero,['italian trap']
Don Toliver,['hip hop']
Donal,"['vietnamese hip hop', 'v-pop']"
Donnie,['nederpop']
Doode,"['brazilian trap', 'trap', 'trap funk', 'brazilian hip hop']"
Dopamine,['rock']
Dopebwoy,[]
Dorian,['indie']
Douaa Lahyaoui,"['moroccan pop', 'raï', 'moroccan chaabi']"
Double Trouble,"['blues', 'blues rock', 'classic blues', 'southern rock', 'modern blues']"
Double2T,"['v-pop', 'vietnamese hip hop']"
Dove Cameron,"['alternative pop', 'pop', 'teen pop']"
Doãn Hiếu,"['vietnamese lo-fi', 'v-pop', 'vinahouse']"
Doğu Swag,"['turkish pop', 'turkish hip hop']"
Dr Thulz,"['gqom', 'amapiano', 'afro house']"
Dr. Yaro,['pop urbaine']
DrBL,['v-pop']
Draganov,"['arabic rap', 'moroccan pop', 'egyptian hip hop']"
Drake,"['rap', 'hip hop']"
Drasta,"['vietnamese hip hop', 'v-pop']"
Dream Supplier,[]
Dreamlux,[]
DrefQuila,"['chilean trap', 'reggaeton chileno', 'argentine trap']"
Dren,[]
Dreycruz,"['pinoy hip hop', 'pinoy r&b']"
Drip-Drop,[]
Dropped Out,"['desi hip hop', 'indian indie', 'hindi hip hop', 'hindi indie', 'punjabi hip hop']"
Droppy,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
Drum7,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnamese lo-fi']"
Drumla,['german pop']
Drunken Masters,['german hip hop']
Du Uyen,"['vinahouse', 'v-pop', 'vietnamese hip hop']"
Du Uyên,"['vinahouse', 'v-pop', 'vietnamese hip hop']"
DuUyen,"['vietnamese lo-fi', 'vinahouse', 'v-pop']"
Dua Lipa,['pop']
Dualy,[]
Dub P,[]
Duc Tri,['v-pop']
DucMinh,"['v-pop', 'vietnam indie', 'vietnamese hip hop']"
Ducth Music,['vinahouse']
Dudu Tassa,['mizrahi']
Dudy Oris,['indonesian pop']
Duke,"['2008 universal fire victim', 'big band', 'duke box', 'jazz', 'newport', 'swing']"
Duke Dumont,['house']
Duki,"['argentine trap', 'trap', 'trap latino']"
Dulquer Salmaan,"['mollywood', 'hindi pop', 'malayalam pop']"
Duman,"['anatolian rock', 'turkish pop', 'karadeniz folk']"
Duncan Laurence,['queer']
DuongK,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']"
Duongg,"['v-pop', 'vietnamese lo-fi', 'vietnam indie']"
Durdenhauer,['techno']
Dusky,"['v-pop', 'vietnam indie']"
Dustee,"['vinahouse', 'vietnamese hip hop', 'v-pop']"
Dutch Melrose,['electropop']
Duy Andy,"['vietnamese hip hop', 'v-pop']"
Duy Khánh,"['vietnamese bolero', 'bolero']"
Duy Khánh 周周,['v-pop']
Duy Nhất,['v-pop']
Duy Sơn,"['v-pop', 'vietnamese hip hop']"
Duy Trường,"['vietnamese bolero', 'bolero']"
Duy Trường & Tường Nguyên & Tường Khuê,"['vietnamese bolero', 'bolero']"
Duy Tuan,"['vinahouse', 'v-pop', 'vietnamese hip hop']"
Duzme Music,"['vinahouse', 'v-pop']"
Dxrkaii,"['jersey club', 'phonk']"
Dxtiny,"['afro soul', 'alté', 'afrobeat', 'afrobeats', 'afropop']"
Dygta,['indonesian pop']
Dylan Gossett,['country']
Dynazty,"['power metal', 'melodic metal', 'symphonic metal', 'arena rock', 'metal']"
Dímelo Flow,"['reggaeton', 'urbano latino']"
Dương Domic,"['v-pop', 'vietnamese hip hop']"
Dương Edward,"['v-pop', 'vinahouse', 'vietnamese lo-fi', 'vietnam indie']"
Dương Hoàng Yến,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop']"
Dương Hùng Sơn,"['v-pop', 'vinahouse']"
Dневник Dжессики,[]
Dế Choắt (DC),"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
EASY FREAK,['nu disco']
EDIS,"['turkish pop', 't-pop']"
EK,['k-rap']
EKKSTACY,"['indie pop', 'indie rock', 'new wave', 'post punk']"
EL IMA,[]
ELENA ROSE,['latin r&b']
ELYELLA,[]
EMIN,[]
EMPIRE,"['afrobeats', 'asakaa', 'hiplife', 'afrobeat', 'afropop', 'amapiano']"
ENCASSATOR,['phonk']
ENHYPEN,['k-pop']
ENINA,[]
ENKAY,['german pop']
ENNIO,['german pop']
ERIK,"['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
ERNEST,['country']
EVERGLOW,['k-pop']
EVY,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']"
Earthlite,['ambient']
Eason Chan,"['cantopop', 'mandopop', 'c-pop', 'taiwanese pop']"
East Duo,"['fixme or cleanup', 'special purpose', 'special purpose artist', 'unknown']"
Easykid,"['reggaeton chileno', 'chilean trap', 'neoperreo']"
Ebru Yaşar,"['turkish pop', 'arabesk', 'oyun havasi']"
Ed Sheeran,['soft pop']
Eddie Dee,['reggaeton']
Eddin,['german hip hop']
Eddy Việt,"['vietnamese hip hop', 'v-pop']"
Eden Hason,['mizrahi']
Edgardo Nuñez,"['corrido', 'corridos bélicos', 'corridos tumbados', 'electro corridos', 'sad sierreño', 'banda', 'música mexicana']"
Edicion Especial,"['corrido', 'corridos bélicos', 'norteño', 'sad sierreño', 'corridos tumbados', 'banda']"
Edwin Rosen,['neue deutsche welle']
Eemoh,"['amapiano', 'gqom']"
EggPlantEgg,"['taiwanese indie', 'taiwanese pop', 'chinese indie', 'mandopop', 'chinese rock', 'c-pop']"
Ego Slimflow,"['amapiano', 'gqom']"
Egor Kreed,"['pop', 'pop rap']"
Egzod,['pop rock']
Einár,['epadunk']
Ekhsan,"['indonesian pop', 'malay']"
El Alfa,"['dembow', 'urbano latino', 'latin', 'reggaeton']"
El Chachito,"['corrido', 'corridos bélicos', 'corridos tumbados']"
El Charrito Negro,"['popular colombian music', 'ranchera', 'vallenato']"
El Fantasma,"['corrido', 'banda', 'norteño', 'corridos bélicos', 'sierreño', 'música mexicana', 'corridos tumbados']"
El Sawareekh,"['mahraganat', 'egyptian pop', 'egyptian shaabi', 'khaleeji', 'arabic rap', 'egyptian hip hop']"
El Taiger,['timba']
El Waili,"['egyptian hip hop', 'arabic rap', 'mahraganat', 'egyptian pop', 'khaleeji']"
El Zar,['latin indie']
ElGrandeToto,"['arabic rap', 'moroccan pop']"
Eladio Carrion,"['trap latino', 'urbano latino', 'trap']"
Elams,['pop urbaine']
Eldzhey,"['pop rap', 'trap']"
Electroforez,"['post-punk', 'darkwave', 'cold wave']"
Element,['indonesian pop']
Elevation Worship,"['worship', 'christian', 'ccm', 'gospel']"
Elisa,['italian singer-songwriter']
Elissa,"['khaleeji', 'egyptian pop']"
Eliza Doolittle,"['british', 'female vocalists', 'indie', 'pop', 'soul']"
Eliza Maturan,"['opm', 'harana', 'p-pop']"
Eliza Rose,['house']
Ella Eyre,"['alternative r&b', 'neo soul']"
Ellen Krauss,[]
Elley Duhé,"['alternative pop', 'electropop']"
Elli'an,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
Ellice,[]
Ellie Goulding,"['contemporary r&b', 'dance-pop', 'electropop', 'indie', 'indie folk', 'indie pop', 'pop', 'synth-pop']"
Elodie,"['dance-pop', 'electropop', 'pop']"
Elsya,"['indonesian pop', 'malay']"
Elton John,"['adult contemporary', 'british', 'classic rock', 'piano rock', 'pop', 'pop rock', 'rock', 'rock and roll', 'singer-songwriter', 'singer/songwriter', 'soft rock']"
Elvis Crespo,"['merengue', 'latin dance', 'salsa', 'latin']"
Elvis Phương,"['vietnamese bolero', 'bolero', 'v-pop']"
Elyanna,[]
Elán,"['pop rock', 'slovak']"
Em Beihold,"['pop', 'singer-songwriter', 'teen pop']"
Emanero,"['cuarteto', 'cumbia']"
Emcee L (Da LAB),"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']"
Emilia,"['_consistency', 'audio drama', 'audiobook', 'author', 'has german audio plays', 'has german audiobooks']"
Emily,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']"
Eminem,"['rap', 'hip hop']"
Emir Can İğrek,['turkish pop']
Emma,"['v-pop', 'vietnamese lo-fi']"
Emma Heesters,['nederpop']
Emma Nhất Khanh,"['v-pop', 'vietnamese lo-fi']"
Emma Steinbakken,['norwegian pop']
Emotionz DJ,"['amapiano', 'gqom']"
Empire Of The Sun,"['dance-pop', 'electronic', 'electropop', 'indietronica', 'synthpop']"
Empyre One,['hardstyle']
Emrah Karaduman,"['turkish pop', 't-pop']"
Emz,"['drum and bass', 'uk garage', 'jungle', 'bassline']"
Endspiel,[]
Endzone,['german hip hop']
Engel Montaz,['dembow']
Enkey,['vietnamese hip hop']
Enny-Mae,[]
Enrico Sangiuliano,"['techno', 'minimal techno', 'acid techno', 'tekno']"
Enrique Iglesias,"['latin pop', 'latin']"
Entity MusiQ,"['amapiano', 'gqom', 'afro soul']"
Era7capone,['turkish hip hop']
Eric Chou,"['mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b']"
Eric Church,"['country', 'acoustic country']"
Eric Land,"['piseiro', 'forró', 'sertanejo', 'arrocha', 'brega', 'seresta']"
Eric.B.Jr,['j-rap']
Ericson,['german hip hop']
Erik Satie,"['classical piano', 'classical']"
Erika Isac,['manele']
Erika Lundmoen,[]
Erika Vikman,"['finnish pop', 'iskelmä']"
Ernia,['italian trap']
Ernie Zakri,"['malay', 'malay pop', 'malay rap', 'malaysian pop', 'indonesian pop']"
Ero,"['turkish hip hop', 'drill']"
Eslabon Armado,"['corridos tumbados', 'sad sierreño', 'corrido', 'sierreño', 'música mexicana', 'corridos bélicos']"
Essam Sasa,"['mahraganat', 'khaleeji', 'egyptian pop', 'egyptian shaabi', 'egyptian hip hop']"
Estani,['argentine trap']
Estevan Plazola,"['corridos tumbados', 'corrido', 'corridos bélicos']"
Esther Graf,['german pop']
Eternxlkz,['phonk']
Ethan Low,[]
Ethic Entertainment,"['gengetone', 'bongo flava']"
Eva Celia,"['indonesian pop', 'indonesian indie']"
Eva Timush,['manele']
Evaluna Montaner,"['latin', 'latin pop']"
Evan Honer,[]
Evdeki Saat,['turkish pop']
Eve,"['anime', 'j-pop', 'j-rock', 'vocaloid', 'japanese indie']"
Evy,[]
Ex Battalion,"['pinoy hip hop', 'pinoy r&b', 'opm', 'p-pop']"
Exclusive Music,['vinahouse']
Exile,"['j-pop', 'j-r&b']"
Exodar,[]
Eyedress,"['indie rock', 'philippines', 'post-punk revival', 'shoegaze']"
F,"['t-pop', 'thai pop']"
F.,"['austrian', 'austrian composer', 'classical', 'classical period', 'composer', 'european', 'romantic', 'romantic classical']"
F.HERO,"['thai hip hop', 'thai pop', 't-pop', 'thai trap', 'k-pop']"
FABE BROWN,[]
FACE,"['alternative rock', 'california', 'melodic punk', 'pop punk', 'punk', 'punk rock', 'rock', 'skate punk', 'usa']"
FATMAN,[]
FAVE,"['afrobeats', 'afrobeat', 'afropop', 'alté', 'afro soul']"
FC Baseball,"['lithuania', 'lithuanian', 'lithuanian pop', 'pop']"
FIFA Sound,[]
FIIZIIKS UDOPLATOV,[]
FISHER,"['tech house', 'house', 'techno']"
FLY LO,['trap']
FMK,['argentine trap']
FOLA,"['afro adura', 'afrobeat', 'afrobeats', 'afro soul', 'afropop']"
FORTUNA 812,[]
FOURTY,['german hip hop']
FRANCÈ ZITO,[]
FRANSE CEO,['medieval']
FREEHAND,"['thai rock', 'thai pop', 't-pop', 'thai indie rock']"
FRIENDLY THUG 52 NGG,[]
FT Kings,['italian trap']
FYRE,[]
Fabio Asher,"['indonesian pop', 'malay']"
Fabricants of Noise,"['art pop', 'avant-garde pop', 'british', 'classic pop and rock', 'electronic', 'english', 'fairlight cmi', 'plunderphonics', 'sampledelia', 'synth-pop', 'uk']"
Faceless,"['afro soul', 'afrobeats', 'afrobeat', 'alté', 'afropop']"
Fadel Chaker,"['khaleeji', 'sholawat', 'egyptian pop']"
Faheem Abdullah,['indian indie']
Fahimi,"['malay', 'malay pop', 'malaysian pop']"
Faisal Kapadia,"['desi hip hop', 'hindi hip hop', 'indian indie', 'desi']"
Faizal Tahir,"['malay', 'malay pop', 'malaysian pop', 'malay rap']"
Fally Ipupa,"['rhumba', 'afrobeat', 'afrobeats', 'pop urbaine']"
FamousKyo,['brazilian trap']
Fana Hues,['alternative r&b']
Fanny,"['vinahouse', 'vietnamese lo-fi', 'v-pop']"
Faris Shafi,"['desi hip hop', 'hindi hip hop', 'desi', 'indian indie']"
Farruko,"['reggaeton', 'trap latino', 'latin']"
Father John Misty,['chamber pop']
Fatma Turgut,"['turkish pop', 'turkish hip hop']"
Favst,[]
Favé,[]
Faye Wong,"['cantopop', 'mandopop', 'c-pop', 'taiwanese pop', 'chinese indie']"
Feby Putri,"['indonesian pop', 'indonesian indie']"
Feid,"['reggaeton', 'urbano latino']"
Feliks Alvin,"['vinahouse', 'v-pop', 'vietnamese hip hop']"
Felipe Amorim,"['piseiro', 'forró', 'arrocha', 'sertanejo', 'agronejo', 'brega']"
Felipe Araújo,"['sertanejo', 'sertanejo universitário', 'pagode', 'arrocha']"
Felipe e Rodrigo,"['sertanejo', 'sertanejo universitário', 'agronejo']"
Felix Jaehn,['tropical house']
Felo Le Tee,"['amapiano', 'gqom']"
Fenix Flexin,[]
Fernando Moreno,[]
Ferrugem,"['pagode', 'samba']"
Fetty Wap,"['2010s', 'contemporary r&b', 'hip hop', 'pop rap', 'trap', 'trap rap']"
FiNCH,['schlagerparty']
Fido,"['afro adura', 'afrobeats', 'afrobeat', 'afropop']"
Fiersa Besari,"['indonesian indie', 'indonesian pop']"
Figoshin,"['moroccan pop', 'arabic rap']"
Fiji,"['nz reggae', 'reggae']"
Filip Leon,['disco polo']
Filipe Ret,"['brazilian hip hop', 'brazilian trap', 'trap', 'trap funk']"
Firdhaus,"['mandopop', 'c-pop', 'chinese r&b', 'taiwanese pop']"
Fireboy DML,"['afrobeats', 'afrobeat', 'afropop', 'afroswing', 'afro soul', 'alté']"
First Anuwat,"['thai pop', 't-pop', 'thai hip hop']"
Fishy,"['vietnamese lo-fi', 'v-pop', 'vietnamese hip hop', 'vietnam indie']"
Flamme Music,"['punjabi pop', 'punjabi hip hop', 'bhangra']"
Flava Sati,"['vietnamese hip hop', 'v-pop']"
Florence + The Machine,['baroque pop']
Florian Rus,['manele']
Flow G,"['pinoy hip hop', 'pinoy r&b', 'opm', 'p-pop']"
Flowdan,"['drum and bass', 'grime']"
Flows of Sleep,[]
FloyyMenor,"['reggaeton chileno', 'chilean trap']"
Flume,['future bass']
Focalistic,"['amapiano', 'gqom', 'afrobeats', 'afrobeat']"
Focus Noise,"['art rock', 'classic rock', 'jazz fusion', 'progressive rock', 'rock', 'symphonic prog', 'symphonic rock']"
Fones,"['entehno', 'laïko']"
Fontaines D.C.,['post-punk']
For Revenge,"['indonesian indie', 'indonesian pop', 'pop punk', 'indorock']"
Forest Blakk,['spoken word']
Forest Studio,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']"
Fotini Velesiotou,"['entehno', 'laïko']"
Foufa Torino,"['raï', 'moroccan pop', 'arabic rap', 'algerian chaabi', 'khaleeji']"
Fous,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
Francesco Gabbani,['gabber']
Francis Mercier,"['afro house', 'melodic house', 'latin house', 'tribal house', 'house']"
Franglish,['pop urbaine']
Frankie Ruiz,"['salsa', 'salsa romantica', 'merengue']"
Franz Liszt,"['classical piano', 'classical']"
Frauenarzt,['german hip hop']
Freak D,"['vietnamese lo-fi', 'v-pop', 'lo-fi', 'vietnam indie']"
Freak Nasty,['miami bass']
Freaky,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnamese lo-fi']"
Fred Rabe,['german pop']
Fred again..,"['stutter house', 'house']"
Freeze corleone,['drill']
Fresto Music,"['salsa', 'salsa romantica', 'son cubano', 'timba']"
Fridayy,[]
Fried By Fluoride,"['e-punk', 'incelcore']"
Friends,"[""children's music""]"
Fritu,['italian trap']
Frou Frou,['electropop']
Fuerza Regida,"['corrido', 'corridos tumbados', 'corridos bélicos', 'música mexicana', 'banda', 'electro corridos', 'sierreño', 'sad sierreño']"
Fujii Kaze,['j-pop']
Full Trunk,['mizrahi']
Funk SÉRIE GOLD,"['funk carioca', 'funk']"
Funk Wav,"['_private tag 1', 'akiba-pop', 'denpa', 'file/path', 'moe song']"
Funkvater Frank,[]
Funky Qla,"['gqom', 'amapiano', 'afro house']"
Furelise,"['arabic rap', 'moroccan pop']"
Fustic.,[]
Future,['rap']
Fäaschtbänkler,"['schlagerparty', 'schlager']"
G Ferrari,['italian trap']
G-DRAGON,"['k-pop', 'k-rap']"
G-Family,['vietnamese hip hop']
G. V. Prakash,"['tamil pop', 'kollywood', 'tamil dance', 'tollywood', 'tamil hip hop']"
G.A,"['brazilian trap', 'trap', 'trap funk']"
G.E.M.,"['mandopop', 'c-pop', 'taiwanese pop', 'cantopop', 'gufeng']"
GAMPER & DADONI,['tropical house']
GANGGA,[]
GAVIN:D,"['thai hip hop', 'thai trap', 'thai pop', 't-pop']"
GDucky,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
GEE LEE,['house']
GEN JI,"['vietnamese hip hop', 'v-pop']"
GFRIEND,['k-pop']
GIMS,"['french pop', 'pop urbaine']"
GIRIBOY,['k-rap']
GISELLE,['k-pop']
GIVĒON,['r&b']
GONE.Fludd,"['pop rap', 'trap']"
GORDÃO DO PC,"['funk de bh', 'funk', 'brazilian funk']"
GPG msmy,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
GRAY,['k-rap']
GRECAS,['rock']
GREY D,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']"
GReeeN,['german hip hop']
GRiNGO,['german hip hop']
GTK,"['thai hip hop', 'thai pop', 't-pop', 'thai trap']"
GUANG,"['vinahouse', 'v-pop']"
GUF,[]
GULF KANAWUT,"['thai pop', 't-pop']"
Gabito Ballesteros,"['corrido', 'corridos tumbados', 'corridos bélicos', 'música mexicana', 'sad sierreño', 'electro corridos', 'banda']"
Gabry Ponte,"['slap house', 'italo dance']"
Gaby Music,['reggaeton']
Gabzy,"['afrobeats', 'afroswing', 'alté', 'afrobeat', 'afropop', 'afro soul']"
Gaho,['soundtrack']
Galaxyy,"['vietnamese hip hop', 'v-pop']"
Gambi,['pop urbaine']
Gana Balachandar,"['tamil dance', 'kollywood', 'tamil pop', 'tollywood']"
Gana Guna,"['tamil dance', 'tamil pop', 'kollywood']"
Garena Free Fire,[]
Garry Sandhu,"['bhangra', 'punjabi pop', 'desi']"
Gary Yang,"['mandopop', 'c-pop', 'taiwanese pop']"
Gatis,['latvian']
Gaurav Chatterji,"['indian indie', 'hindi indie']"
Gautham Vasudev Menon,"['tamil pop', 'kollywood']"
Gautier Capuçon,"['chamber music', 'classical']"
Gawryle,['disco polo']
Gazapizm,"['turkish hip hop', 'turkish pop']"
Gazo,"['drill', 'pop urbaine']"
Gazzelle,['indie']
Gaël Faye,"['french pop', 'french house', 'chanson', 'variété française']"
Gee Q Pham,"['electronic', 'polish']"
Gekko G,['turkish hip hop']
Gem Belushi,[]
Generali,[]
Genezio,[]
Geolier,"['canzone napoletana', 'italian trap', 'neomelodico']"
George Dalaras,"['laïko', 'entehno']"
George Henrique & Rodrigo,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']"
Gera MX,"['mexican hip hop', 'latin hip hop']"
Gerardo Coronel,"['banda', 'sierreño', 'corrido', 'norteño', 'sad sierreño']"
Gerry Cinnamon,['singer-songwriter']
Gettomasa,"['finnish hip hop', 'finnish pop']"
Ghali,['italian trap']
Ghard,"['brazilian trap', 'trap funk', 'trap']"
Ghea Indrawari,"['indonesian pop', 'malay']"
Ghost Killer Track,[]
Ghostly Kisses,['alternative pop']
GiGi Hương Giang,"['v-pop', 'vietnam indie']"
Gia Huy,"['vinahouse', 'vietnamese bolero', 'v-pop', 'traditional music', 'vietnamese lo-fi']"
Gia Margaret,"['indie folk', 'ambient', 'indie pop']"
Gia Nghi,[]
Giai Điệu Trẻ Thơ Loulou và Lou,[]
Giang,"['v-pop', 'vietnamese bolero', 'bolero']"
Giang Hong Ngoc,"['v-pop', 'vietnamese bolero', 'bolero']"
Giang Nguyễn,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']"
Giang Pham,[]
Giang Tuấn,[]
Giang Đẫm,"['funk', 'hip hop']"
Gibran Alcocer,['ambient']
Gifty,['punjabi pop']
Giga Papaskiri,['vocaloid']
Gigantes,"['brazilian hip hop', 'boom bap']"
Gigi D'Agostino,"['eurodance', 'italo dance']"
Gigi Perez,"['indie folk', 'indie pop', 'queer']"
Gil Lê,"['v-pop', 'vietnam indie']"
Gill,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vinahouse']"
Gilli,['dansktop']
Gilsons,"['nova mpb', 'mpb']"
Gin Tuấn Kiệt,"['v-pop', 'vietnamese hip hop']"
Gio Pika,[]
Giota Negka,"['entehno', 'laïko']"
Gipsy Kings,['flamenco']
Gizmo,"['vietnamese hip hop', 'v-pop']"
Glass Animals,"['electronic', 'english', 'indie', 'indie pop', 'indie rock', 'indietronica', 'pop', 'psychedelic pop', 'trip-hop', 'uk']"
GloRilla,"['hip hop', 'southern hip hop', 'trap']"
Gloria Groove,"['brazilian pop', 'funk pop', 'pagode', 'brazilian funk']"
Glykeria,"['laïko', 'entehno']"
